X,Pressure_Coefficient
4.912915887618993227e-02,-1.083928734876855593e+00
4.017249637475164836e-02,-4.659226680443333102e+00
4.651313413955768250e-02,-4.871998724324175356e+00
6.598916928673348448e-02,-4.222162562240411532e+00
8.446565042527964806e-02,-3.905497087490452657e+00
1.067357449781362044e-01,-3.451936987907930465e+00
1.599183739220425005e-01,-3.305178912919301659e+00
1.913255141751599164e-01,-2.541235303584667538e+00
2.042197848160753892e-01,-1.977161662075205051e+00
2.376438601052706656e-01,-1.761941924343697785e+00
2.874069530639042358e-01,-1.608584130866618445e+00
3.960599472100282958e-01,-1.517116478776929789e+00
4.500048639670138351e-01,-1.430560662716131137e+00
4.978724930170670970e-01,-1.378637444892373942e+00
5.909501336753721912e-01,-1.319322052294054526e+00
6.954258359683354040e-01,-1.272384436213096937e+00
7.478543010305425121e-01,-1.264997044880733501e+00
7.729284252685004741e-01,-1.252643437334481025e+00
7.976228323234053619e-01,-1.245237667513669599e+00
8.173781968315001478e-01,-1.235354580068575014e+00
8.390334522735913847e-01,-1.232276529425667011e+00
8.720334980267510083e-01,6.657505740274538564e-02
7.633555278271280109e-01,5.886705015220154991e-01
6.132898953230734307e-01,5.343409624266107771e-01
4.522058176575207145e-01,4.998110823167879468e-01
3.363277232044940557e-01,5.716351666926497987e-01
2.104734202437422708e-01,7.254188113671404814e-01
1.561411323518245853e-01,8.219425580320340874e-01
1.238451305235441779e-01,8.937112551824352158e-01
9.383025167059261262e-02,9.258937258876923648e-01
7.749536310677329620e-02,8.863198356882200368e-01
