X,Baseline,Min,Max
-8.354695509768679529e-02,-1.489139795303344727e-01,-3.497955501079559326e-01,4.408366084098815918e-01
-8.299448720996698003e-02,-2.414796799421310425e-01,-4.400169253349304199e-01,3.530734479427337646e-01
-8.238825938894660250e-02,-3.344929814338684082e-01,-5.333889126777648926e-01,2.680913805961608887e-01
-8.168942916575876179e-02,-4.433740079402923584e-01,-6.416251659393310547e-01,1.684232652187347412e-01
-8.090782739401385093e-02,-5.071979165077209473e-01,-7.042975425720214844e-01,1.007345467805862427e-01
-8.006100451137616869e-02,-5.690838694572448730e-01,-7.614623308181762695e-01,3.213426470756530762e-02
-7.915021586731173231e-02,-6.360164880752563477e-01,-8.326249718666076660e-01,-3.584959357976913452e-02
-7.816775002938651518e-02,-6.891214847564697266e-01,-8.795280456542968750e-01,-9.161923080682754517e-02
-7.712977981150019591e-02,-7.269381284713745117e-01,-9.141108393669128418e-01,-1.411706358194351196e-01
-7.602980837258520308e-02,-7.489358782768249512e-01,-9.310250282287597656e-01,-1.783461123704910278e-01
-7.488770936197994277e-02,-7.661331892013549805e-01,-9.428237080574035645e-01,-2.089930325746536255e-01
-7.370305889544914724e-02,-7.823929786682128906e-01,-9.538241028785705566e-01,-2.371398508548736572e-01
-7.248353579894718790e-02,-7.978015542030334473e-01,-9.639416933059692383e-01,-2.634539008140563965e-01
-7.123293872735171617e-02,-8.125833868980407715e-01,-9.742946624755859375e-01,-2.884748578071594238e-01
-6.995233554287082212e-02,-8.267459273338317871e-01,-9.845375418663024902e-01,-3.122607171535491943e-01
-6.864806820579377744e-02,-8.401203751564025879e-01,-9.946600198745727539e-01,-3.347482085227966309e-01
-6.731861643900756420e-02,-8.527249097824096680e-01,-1.004197359085083008e+00,-3.559356331825256348e-01
-6.597023253498243700e-02,-8.648589849472045898e-01,-1.013560771942138672e+00,-3.762189745903015137e-01
-6.460236625937455790e-02,-8.760272264480590820e-01,-1.021968841552734375e+00,-3.950456976890563965e-01
-6.321857171846427537e-02,-8.865069746971130371e-01,-1.030094742774963379e+00,-4.128303825855255127e-01
