X,Pressure_Coefficient
-7.856042097431642501e-02,9.900237595864926909e-01
-8.366484960861989006e-02,3.888342858529864055e-01
-8.364411595936949162e-02,-1.205096755664476493e-01
-7.131628521552035860e-02,-8.076837138195001042e-01
-6.561579410474058238e-02,-8.497462508484627808e-01
-4.699504920061492452e-02,-9.660386900047035486e-01
-8.999563360486129149e-03,-1.055129476756286433e+00
1.266113462571646919e-02,-1.186268198450119993e+00
1.185104318335961082e-02,4.828063171636365336e-02
9.567100331022843074e-03,1.571401109592935885e-01
3.491826821953564197e-03,7.302661786669062405e-02
-4.854901512703013733e-03,-2.090089440874614013e-01
-1.016912929737515126e-02,-3.228114776136319364e-01
-4.284263269105995087e-02,-3.104196025297896178e-01
-3.183305000015826391e-02,-1.125033241509012516e-01
-3.868095087133593957e-02,1.175873686095425530e-01
-4.978134120879110225e-02,2.060417032935057957e-01
-6.017108707411650270e-02,3.363482745229806614e-01
-7.158334880370784137e-02,6.975663597720490605e-01
