X,Baseline,Min,Max
1.128309795579972796e+00,-1.330868124961853027e+00,-2.146549701690673828e+00,-1.330868124961853027e+00
1.131231988284989498e+00,-2.093065381050109863e-01,-8.720117211341857910e-01,-2.239741571247577667e-02
1.129770957145440402e+00,-5.014736577868461609e-02,-5.147513151168823242e-01,-5.014736577868461609e-02
1.127102051574239594e+00,1.395692229270935059e-01,-2.551227807998657227e-01,1.395692229270935059e-01
1.125869526643982654e+00,9.591859579086303711e-02,-3.097091019153594971e-01,9.591859579086303711e-02
1.124612351215120487e+00,1.181419938802719116e-01,-2.748984694480895996e-01,1.181419938802719116e-01
1.123330134009897563e+00,1.669674217700958252e-01,-2.078504413366317749e-01,1.669674217700958252e-01
1.122021962046884092e+00,2.073750793933868408e-01,-1.476192325353622437e-01,2.085808962583541870e-01
1.120681835733826848e+00,2.443933933973312378e-01,-9.449993073940277100e-02,2.468481808900833130e-01
1.119310668052155844e+00,2.772122323513031006e-01,-4.700648412108421326e-02,2.810216546058654785e-01
1.117909893686974909e+00,3.064265549182891846e-01,-5.164706613868474960e-03,3.112792670726776123e-01
1.116478077953179993e+00,3.325168490409851074e-01,3.225893527269363403e-02,3.383151590824127197e-01
1.115013916591585774e+00,3.557878136634826660e-01,6.563079357147216797e-02,3.623454570770263672e-01
1.113513757676473093e+00,3.762548267841339111e-01,9.509421885013580322e-02,3.834564685821533203e-01
1.111972905874774042e+00,3.940768241882324219e-01,1.207755431532859802e-01,4.018225371837615967e-01
1.110396839075067588e+00,4.097246527671813965e-01,1.432319879531860352e-01,4.179194569587707520e-01
1.108786078981027989e+00,4.237071573734283447e-01,1.631166189908981323e-01,4.323172271251678467e-01
1.107141277722248018e+00,4.364517331123352051e-01,1.811044365167617798e-01,4.454532265663146973e-01
1.105462826576483204e+00,4.484373033046722412e-01,1.979339122772216797e-01,4.578126072883605957e-01
1.103743812970050753e+00,4.600933790206909180e-01,2.142422795295715332e-01,4.697746336460113525e-01
1.101991932032144739e+00,4.714425206184387207e-01,2.301387488842010498e-01,4.813636839389801025e-01
1.100207835892357933e+00,4.825157523155212402e-01,2.456412017345428467e-01,4.925875067710876465e-01
1.098391524550690335e+00,4.933012425899505615e-01,2.607267200946807861e-01,5.034613013267517090e-01
1.096543128433060454e+00,5.038071870803833008e-01,2.753704190254211426e-01,5.140243768692016602e-01
1.094658082632319340e+00,5.141302347183227539e-01,2.896739840507507324e-01,5.243750214576721191e-01
1.092738213111326573e+00,5.242745280265808105e-01,3.036706745624542236e-01,5.345377922058105469e-01
1.090786780518045562e+00,5.342084169387817383e-01,3.173524737358093262e-01,5.444802045822143555e-01
1.088803719639517276e+00,5.439378619194030762e-01,3.307456672191619873e-01,5.541790127754211426e-01
1.086788769623904471e+00,5.534290671348571777e-01,3.438144624233245850e-01,5.636140108108520508e-01
1.084739843656510550e+00,5.626703500747680664e-01,3.565381467342376709e-01,5.727831125259399414e-01
1.082653420237534858e+00,5.716738700866699219e-01,3.688968122005462646e-01,5.816862583160400391e-01
1.080535303320352636e+00,5.803789496421813965e-01,3.808307349681854248e-01,5.902952551841735840e-01
1.078385297266085674e+00,5.887831449508666992e-01,3.923243582248687744e-01,5.985953211784362793e-01
1.076203467287693671e+00,5.968689322471618652e-01,4.033646881580352783e-01,6.065732240676879883e-01
1.073989682959258118e+00,6.046243906021118164e-01,4.139562845230102539e-01,6.142253279685974121e-01
1.071737683836688548e+00,6.120619773864746094e-01,4.241055250167846680e-01,6.215459704399108887e-01
1.069453665151115951e+00,6.191114783287048340e-01,4.337109327316284180e-01,6.284828186035156250e-01
1.067138344245092574e+00,6.257818937301635742e-01,4.427748024463653564e-01,6.350337862968444824e-01
1.064792242822292234e+00,6.320993304252624512e-01,4.513298571109771729e-01,6.412436366081237793e-01
1.062415686947511650e+00,6.380810737609863281e-01,4.594092071056365967e-01,6.471191048622131348e-01
1.060005872463501753e+00,6.437557339668273926e-01,4.670586585998535156e-01,6.526961326599121094e-01
1.057564625333122343e+00,6.491216421127319336e-01,4.742629826068878174e-01,6.579631567001342773e-01
1.055095271417296310e+00,6.541374921798706055e-01,4.809637665748596191e-01,6.628859639167785645e-01
1.052598528058575900e+00,6.588457822799682617e-01,4.872046709060668945e-01,6.675074100494384766e-01
1.050075503877268224e+00,6.632990241050720215e-01,4.930807054042816162e-01,6.718809008598327637e-01
1.047526198873373726e+00,6.675354838371276855e-01,4.986739158630371094e-01,6.760477423667907715e-01
1.044949895704340381e+00,6.716133356094360352e-01,5.040612220764160156e-01,6.800611019134521484e-01
1.042351550555072670e+00,6.755778193473815918e-01,5.093108415603637695e-01,6.839615106582641602e-01
1.039732532897715389e+00,6.794942021369934082e-01,5.145074129104614258e-01,6.878092288970947266e-01
1.037094081778495047e+00,6.833806037902832031e-01,5.196671485900878906e-01,6.916200518608093262e-01
1.034437240604759500e+00,6.872245073318481445e-01,5.247613191604614258e-01,6.953834891319274902e-01
1.031760835543242161e+00,6.910335421562194824e-01,5.298033952713012695e-01,6.991097927093505859e-01
1.029068779371499431e+00,6.948003172874450684e-01,5.347872376441955566e-01,7.027937769889831543e-01
1.026362702413512906e+00,6.985304951667785645e-01,5.397266745567321777e-01,7.064422369003295898e-01
