X,Pressure_Coefficient
8.802875703521870765e-01,1.078108588544024471e-02
8.886506721170244205e-01,-2.338480589160716772e+00
8.928158578137816992e-01,-2.925042262602400633e+00
9.080254233263771457e-01,-2.819748587501292203e+00
9.259921075969279602e-01,-2.398609820564403527e+00
9.453297755466996133e-01,-1.547322117175780498e+00
9.665249432468223656e-01,-1.183333147449324940e+00
9.858779300148858837e-01,-8.825142779578658558e-01
1.017213254506816655e+00,-4.643723323759429977e-01
1.040254788608477199e+00,-1.876145831514208773e-01
1.070675761240239332e+00,-4.320381407345386116e-02
1.091419152265905135e+00,-1.009813634961509443e-02
1.103865488235106884e+00,-1.063624808370855490e-03
1.032543307628740692e+00,7.537804397331812067e-01
9.562066679969849492e-01,8.378546436386676843e-01
8.747098704030276117e-01,1.009428236569604564e+00
