X,Baseline,Min,Max
8.742758429546063637e-01,-7.276459336280822754e-01,-7.459486722946166992e-01,-2.886583805084228516e-01
8.744794378134562729e-01,-1.197658896446228027e+00,-1.271842122077941895e+00,-5.197834968566894531e-01
8.741981743201123756e-01,-1.569430232048034668e-01,-1.721633970737457275e-01,9.539593011140823364e-02
8.741204404726591326e-01,-2.308086901903152466e-01,-2.526871860027313232e-01,6.926455348730087280e-02
8.740363157551971351e-01,-2.805647552013397217e-01,-3.027619123458862305e-01,3.417571634054183960e-02
8.739481478342602250e-01,-2.892671227455139160e-01,-3.125163018703460693e-01,2.973105758428573608e-02
8.738571757560746889e-01,-2.826761603355407715e-01,-3.062728047370910645e-01,3.516542166471481323e-02
8.737572042895093150e-01,-2.688528001308441162e-01,-2.933200895786285400e-01,4.741350561380386353e-02
8.736572328229440521e-01,-2.519301176071166992e-01,-2.770927846431732178e-01,6.164215877652168274e-02
8.735457186625874559e-01,-2.338963598012924194e-01,-2.594487369060516357e-01,7.642265409231185913e-02
8.734323785393712791e-01,-2.158184945583343506e-01,-2.417276650667190552e-01,9.098419547080993652e-02
8.733117345647164464e-01,-1.961682587862014771e-01,-2.223356664180755615e-01,1.062878817319869995e-01
8.731832650349489189e-01,-1.755849719047546387e-01,-2.018882930278778076e-01,1.219043284654617310e-01
8.730530347552810655e-01,-1.543424725532531738e-01,-1.807256340980529785e-01,1.378290355205535889e-01
8.729074142172247308e-01,-1.318390816450119019e-01,-1.581795066595077515e-01,1.545020043849945068e-01
8.727617936791685072e-01,-1.094264462590217590e-01,-1.356845051050186157e-01,1.709961593151092529e-01
8.726022175678277426e-01,-8.592768013477325439e-02,-1.120268926024436951e-01,1.882238686084747314e-01
8.724372287808674908e-01,-6.257924437522888184e-02,-8.847283571958541870e-02,2.051931470632553101e-01
8.722648709295093283e-01,-3.856415674090385437e-02,-6.420554220676422119e-02,2.226600050926208496e-01
8.720781010141518408e-01,-1.432665158063173294e-02,-3.967010974884033203e-02,2.401422709226608276e-01
8.718913310987943532e-01,9.871562942862510681e-03,-1.516138948500156403e-02,2.576035857200622559e-01
8.716809540921801602e-01,3.520037978887557983e-02,1.054459717124700546e-02,2.758238315582275391e-01
8.714695988911768110e-01,5.999626219272613525e-02,3.570911288261413574e-02,2.935329675674438477e-01
8.712421360892330657e-01,8.562012016773223877e-02,6.175332888960838318e-02,3.118779361248016357e-01
8.710031305934980983e-01,1.108880639076232910e-01,8.744128793478012085e-02,3.297746181488037109e-01
8.707577994407136313e-01,1.364850103855133057e-01,1.134881526231765747e-01,3.479499816894531250e-01
8.704876221504461720e-01,1.624442636966705322e-01,1.399260312318801880e-01,3.662144243717193604e-01
8.702174448601787127e-01,1.879829764366149902e-01,1.659465432167053223e-01,3.841124773025512695e-01
8.699185738678312241e-01,2.144046872854232788e-01,1.929045170545578003e-01,4.025950729846954346e-01
8.696133772184342359e-01,2.400133311748504639e-01,2.190412729978561401e-01,4.202995598316192627e-01
8.692909643477891857e-01,2.662350237369537354e-01,2.458362877368927002e-01,4.385053813457489014e-01
8.689465747098692461e-01,2.918473482131958008e-01,2.720304131507873535e-01,4.560304284095764160e-01
8.685995765535784452e-01,3.173541426658630371e-01,2.981325984001159668e-01,4.735391139984130859e-01
8.682112985940678707e-01,3.432953953742980957e-01,3.247241973876953125e-01,4.912073612213134766e-01
8.678230206345572961e-01,3.682348132133483887e-01,3.502994775772094727e-01,5.080372095108032227e-01
8.674014188528582636e-01,3.936955630779266357e-01,3.764395117759704590e-01,5.252159237861633301e-01
8.669641659609337303e-01,4.179444611072540283e-01,4.013607203960418701e-01,5.412255525588989258e-01
8.665104794032724156e-01,4.423772692680358887e-01,4.264837205410003662e-01,5.573472380638122559e-01
8.660186432644365606e-01,4.659716784954071045e-01,4.507852196693420410e-01,5.724828839302062988e-01
8.655267419126414508e-01,4.889067411422729492e-01,4.744100272655487061e-01,5.870127081871032715e-01
8.649790182677087325e-01,5.119382739067077637e-01,4.981586635112762451e-01,6.012884974479675293e-01
8.644264688637898209e-01,5.334337353706359863e-01,5.203554034233093262e-01,6.141037344932556152e-01
8.638375958415559497e-01,5.550287365913391113e-01,5.426480174064636230e-01,6.268519759178161621e-01
8.632177466636674623e-01,5.750064849853515625e-01,5.623131990432739258e-01,6.379286646842956543e-01
8.625860939401505112e-01,5.946214795112609863e-01,5.751364827156066895e-01,6.486960053443908691e-01
8.618920324146095435e-01,6.133243441581726074e-01,5.869843959808349609e-01,6.582453846931457520e-01
8.611979708890684648e-01,6.307320594787597656e-01,5.976263284683227539e-01,6.667516231536865234e-01
8.604402615152771938e-01,6.478981375694274902e-01,6.079898476600646973e-01,6.791261434555053711e-01
8.596646185776858351e-01,6.630871295928955078e-01,6.164798736572265625e-01,6.906696557998657227e-01
8.588531085124944120e-01,6.782143712043762207e-01,6.248331665992736816e-01,7.018436193466186523e-01
8.579880586077399673e-01,6.913819313049316406e-01,6.314955949783325195e-01,7.112126350402832031e-01
8.571209871012480663e-01,7.038910984992980957e-01,6.372354626655578613e-01,7.197990417480468750e-01
8.561584438223807103e-01,7.155584096908569336e-01,6.423162817955017090e-01,7.276241183280944824e-01
8.551958353305540994e-01,7.253016233444213867e-01,6.454643011093139648e-01,7.334113717079162598e-01
8.541657314258800371e-01,7.348794937133789062e-01,6.485145688056945801e-01,7.392577528953552246e-01
8.530976083659499443e-01,7.422374486923217773e-01,6.495373249053955078e-01,7.428062558174133301e-01
8.519998786225099208e-01,7.492778897285461426e-01,6.502596139907836914e-01,7.492778897285461426e-01
8.508180241616080108e-01,7.547475695610046387e-01,6.496186852455139160e-01,7.547475695610046387e-01
8.496361044877467350e-01,7.592227458953857422e-01,6.480782032012939453e-01,7.592227458953857422e-01
8.483472355606780368e-01,7.628751993179321289e-01,6.456639170646667480e-01,7.628751993179321289e-01
8.470437589307321380e-01,7.650132179260253906e-01,6.419863700866699219e-01,7.650132179260253906e-01
8.456757214711061454e-01,7.666309475898742676e-01,6.382698416709899902e-01,7.666309475898742676e-01
8.442432536077185690e-01,7.668523788452148438e-01,6.329208612442016602e-01,7.668523788452148438e-01
8.427944825045128319e-01,7.664725780487060547e-01,6.277782320976257324e-01,7.665783762931823730e-01
8.412264368987969476e-01,7.645907402038574219e-01,6.210543513298034668e-01,7.657407522201538086e-01
8.396583260801219195e-01,7.623383998870849609e-01,6.142165660858154297e-01,7.642784714698791504e-01
8.379858745266102193e-01,7.588105797767639160e-01,6.062496304512023926e-01,7.619307041168212891e-01
8.362767080770279193e-01,7.546743154525756836e-01,5.978246331214904785e-01,7.588817477226257324e-01
