X,Baseline,Min,Max
8.095960879472841043e-08,-3.800487279891967773e+00,-3.846735715866088867e+00,-3.541409254074096680e+00
3.318793062589975307e-07,-3.819345951080322266e+00,-3.865803480148315430e+00,-3.559895038604736328e+00
7.653416673747415189e-07,-3.838617324829101562e+00,-3.885267972946166992e+00,-3.578769922256469727e+00
1.394652599628898315e-06,-3.858321189880371094e+00,-3.905157327651977539e+00,-3.598064422607421875e+00
2.233878831248148344e-06,-3.878491640090942383e+00,-3.925498247146606445e+00,-3.617805004119873047e+00
3.297886223663226701e-06,-3.899132966995239258e+00,-3.946297645568847656e+00,-3.637997627258300781e+00
4.602382432494778186e-06,-3.920244693756103516e+00,-3.967562913894653320e+00,-3.658645868301391602e+00
6.163956186355790123e-06,-3.941824913024902344e+00,-3.989299535751342773e+00,-3.679753541946411133e+00
8.000125490070786327e-06,-3.963874578475952148e+00,-4.011512279510498047e+00,-3.701323986053466797e+00
1.012937900668475777e-05,-3.986396789550781250e+00,-4.034207820892333984e+00,-3.723361492156982422e+00
1.257123221876099706e-05,-4.009394168853759766e+00,-4.057390689849853516e+00,-3.745869636535644531e+00
1.534626971988473088e-05,-4.032869338989257812e+00,-4.081060409545898438e+00,-3.768852710723876953e+00
1.847620296757668257e-05,-4.056827068328857422e+00,-4.105216979980468750e+00,-3.792314291000366211e+00
2.198392030550166965e-05,-4.081267356872558594e+00,-4.129860401153564453e+00,-3.816256761550903320e+00
2.589354880910832435e-05,-4.106192111968994141e+00,-4.154991626739501953e+00,-3.840683221817016602e+00
3.023051613126881421e-05,-4.131606101989746094e+00,-4.180609703063964844e+00,-3.865595817565917969e+00
3.502159961499273777e-05,-4.157513618469238281e+00,-4.206712722778320312e+00,-3.890995740890502930e+00
4.029500269098207355e-05,-4.183915138244628906e+00,-4.233301639556884766e+00,-3.916883707046508789e+00
4.608041490428149700e-05,-4.210806369781494141e+00,-4.260375976562500000e+00,-3.943258047103881836e+00
5.240907921688631177e-05,-4.238179683685302734e+00,-4.287935256958007812e+00,-3.970116853713989258e+00
5.931387204327620566e-05,-4.266027450561523438e+00,-4.315975189208984375e+00,-3.997457265853881836e+00
6.682935782009735703e-05,-4.294343948364257812e+00,-4.344490528106689453e+00,-4.025274276733398438e+00
7.499189086956903338e-05,-4.323125362396240234e+00,-4.373473644256591797e+00,-4.053559780120849609e+00
8.383968088310211897e-05,-4.352363109588623047e+00,-4.402919292449951172e+00,-4.082305908203125000e+00
9.341284749098122120e-05,-4.382048130035400391e+00,-4.432823657989501953e+00,-4.111501693725585938e+00
1.037535475916229188e-04,-4.412172317504882812e+00,-4.463176727294921875e+00,-4.141133308410644531e+00
1.149060481111519039e-04,-4.442720890045166016e+00,-4.493962764739990234e+00,-4.171181678771972656e+00
1.269167696591466665e-04,-4.473681449890136719e+00,-4.525164127349853516e+00,-4.201625347137451172e+00
1.398344320477917790e-04,-4.505041599273681641e+00,-4.556761264801025391e+00,-4.232438564300537109e+00
1.537101343274116516e-04,-4.536788940429687500e+00,-4.588738918304443359e+00,-4.263588905334472656e+00
1.685974275460466743e-04,-4.568907260894775391e+00,-4.621081829071044922e+00,-4.295039176940917969e+00
1.845523947849869728e-04,-4.601373195648193359e+00,-4.653768539428710938e+00,-4.326743125915527344e+00
2.016337675740942359e-04,-4.634158134460449219e+00,-4.686775684356689453e+00,-4.358653068542480469e+00
2.199030859628692269e-04,-4.667231082916259766e+00,-4.720073223114013672e+00,-4.390725135803222656e+00
2.394246257608756423e-04,-4.700564384460449219e+00,-4.753630638122558594e+00,-4.422904491424560547e+00
2.602657186798751354e-04,-4.734127044677734375e+00,-4.787417888641357422e+00,-4.455110549926757812e+00
2.824966795742511749e-04,-4.767885208129882812e+00,-4.821406364440917969e+00,-4.487229347229003906e+00
3.061908937525004148e-04,-4.801804065704345703e+00,-4.855562210083007812e+00,-4.519176483154296875e+00
3.314251080155372620e-04,-4.835843086242675781e+00,-4.889844417572021484e+00,-4.551007747650146484e+00
3.582793287932872772e-04,-4.869960308074951172e+00,-4.924204349517822266e+00,-4.582853317260742188e+00
3.868369967676699162e-04,-4.904114246368408203e+00,-4.958590984344482422e+00,-4.614830493927001953e+00
4.171850741840898991e-04,-4.938258647918701172e+00,-4.992952346801757812e+00,-4.647043228149414062e+00
4.494141030590981245e-04,-4.972345829010009766e+00,-5.027240276336669922e+00,-4.679549217224121094e+00
4.836183506995439529e-04,-5.006321430206298828e+00,-5.061405181884765625e+00,-4.712353706359863281e+00
5.198959261178970337e-04,-5.040120124816894531e+00,-5.095389842987060547e+00,-4.745393753051757812e+00
5.583487218245863914e-04,-5.073679447174072266e+00,-5.129132747650146484e+00,-4.778544425964355469e+00
5.990825593471527100e-04,-5.106934070587158203e+00,-5.162568092346191406e+00,-4.811659336090087891e+00
6.422073347494006157e-04,-5.139817714691162109e+00,-5.195624828338623047e+00,-4.844586372375488281e+00
6.878371350467205048e-04,-5.172262191772460938e+00,-5.228228569030761719e+00,-4.877186298370361328e+00
7.360898889601230621e-04,-5.204194545745849609e+00,-5.260307312011718750e+00,-4.909336090087890625e+00
7.870878907851874828e-04,-5.235542774200439453e+00,-5.291790962219238281e+00,-4.940928936004638672e+00
8.409577421844005585e-04,-5.266229629516601562e+00,-5.322603225708007812e+00,-4.971872329711914062e+00
8.978302939794957638e-04,-5.296178340911865234e+00,-5.352665424346923828e+00,-5.002081871032714844e+00
9.578405297361314297e-04,-5.325313091278076172e+00,-5.381897926330566406e+00,-5.031479835510253906e+00
1.021128031425178051e-03,-5.353546142578125000e+00,-5.410214900970458984e+00,-5.059981822967529297e+00
1.087836571969091892e-03,-5.380789756774902344e+00,-5.437530517578125000e+00,-5.087505817413330078e+00
1.158114057034254074e-03,-5.406955718994140625e+00,-5.463760375976562500e+00,-5.113976955413818359e+00
1.232113339938223362e-03,-5.431959629058837891e+00,-5.488816261291503906e+00,-5.139330387115478516e+00
1.309990882873535156e-03,-5.455716609954833984e+00,-5.512616157531738281e+00,-5.163504123687744141e+00
1.391907921060919762e-03,-5.478144168853759766e+00,-5.535075664520263672e+00,-5.186436176300048828e+00
1.478029880672693253e-03,-5.499159336090087891e+00,-5.556108474731445312e+00,-5.208052158355712891e+00
