AOA,Baseline,Min,Max
0.000000000000000000e+00,6.331316857000000217e-08,-2.139668369999999905e-07,1.105525146000000048e-07
3.000000000000000000e+00,3.344770888999999969e-01,3.245875703000000168e-01,3.371007144000000011e-01
6.000000000000000000e+00,6.632800183000000516e-01,6.448712076999999487e-01,6.678429201000000148e-01
9.000000000000000000e+00,9.792067084000000143e-01,9.336636520000000106e-01,9.850129939999999751e-01
1.000000000000000000e+01,1.080429014999999993e+00,1.020280289000000007e+00,1.087512693000000086e+00
1.200000000000000000e+01,1.273550954000000068e+00,1.159746173999999908e+00,1.284400623000000019e+00
1.500000000000000000e+01,1.497446207000000085e+00,5.005876881999999917e-01,1.550520697999999920e+00
1.700000000000000000e+01,1.559364194000000037e+00,4.864476690000000270e-01,1.697092757000000063e+00
1.800000000000000000e+01,1.510625525000000025e+00,5.000280015000000411e-01,1.757209766999999978e+00
1.900000000000000000e+01,1.235744253000000015e+00,5.161089773000000491e-01,1.805594587999999945e+00
2.000000000000000000e+01,6.458152285999999576e-01,5.325108271999999809e-01,1.839277400999999923e+00
