X,Baseline,Min,Max
3.318793062589975307e-07,-8.901914596557617188e+00,-9.216028213500976562e+00,-9.075556397438049316e-01
1.394652599628898315e-06,-8.957365036010742188e+00,-9.272155761718750000e+00,-9.274154901504516602e-01
3.297886223663226701e-06,-9.015655517578125000e+00,-9.331501007080078125e+00,-9.482255578041076660e-01
6.163956186355790123e-06,-9.076594352722167969e+00,-9.393527984619140625e+00,-9.701119065284729004e-01
1.012937900668475777e-05,-9.140202522277832031e+00,-9.458140373229980469e+00,-9.931142926216125488e-01
1.534626971988473088e-05,-9.206408500671386719e+00,-9.525195121765136719e+00,-1.017234444618225098e+00
2.198392030550166965e-05,-9.275040626525878906e+00,-9.594599723815917969e+00,-1.042473554611206055e+00
3.023051613126881421e-05,-9.345918655395507812e+00,-9.666256904602050781e+00,-1.068836450576782227e+00
4.029500269098207355e-05,-9.418909072875976562e+00,-9.740067481994628906e+00,-1.096329808235168457e+00
5.240907921688631177e-05,-9.493869781494140625e+00,-9.815904617309570312e+00,-1.124957084655761719e+00
6.682935782009735703e-05,-9.570659637451171875e+00,-9.893600463867187500e+00,-1.154719352722167969e+00
8.383968088310211897e-05,-9.649114608764648438e+00,-9.972957611083984375e+00,-1.185611963272094727e+00
1.037535475916229188e-04,-9.728994369506835938e+00,-1.005372810363769531e+01,-1.217621445655822754e+00
1.269167696591466665e-04,-9.810025215148925781e+00,-1.013560676574707031e+01,-1.250724792480468750e+00
1.537101343274116516e-04,-9.891882896423339844e+00,-1.021825695037841797e+01,-1.284887194633483887e+00
1.845523947849869728e-04,-9.974162101745605469e+00,-1.030125236511230469e+01,-1.320056796073913574e+00
2.199030859628692269e-04,-1.005642127990722656e+01,-1.038412857055664062e+01,-1.356163620948791504e+00
2.602657186798751354e-04,-1.013816642761230469e+01,-1.046634674072265625e+01,-1.393121242523193359e+00
3.061908937525004148e-04,-1.021881580352783203e+01,-1.054726791381835938e+01,-1.430824398994445801e+00
3.582793287932872772e-04,-1.029769706726074219e+01,-1.062623310089111328e+01,-1.469147443771362305e+00
4.171850741840898991e-04,-1.037400054931640625e+01,-1.070241641998291016e+01,-1.507944464683532715e+00
4.836183506995439529e-04,-1.044685173034667969e+01,-1.077502822875976562e+01,-1.547046661376953125e+00
5.583487218245863914e-04,-1.051536560058593750e+01,-1.084308433532714844e+01,-1.586233854293823242e+00
6.422073347494006157e-04,-1.057858276367187500e+01,-1.090564537048339844e+01,-1.625230669975280762e+00
7.360898889601230621e-04,-1.063549041748046875e+01,-1.096160984039306641e+01,-1.663714289665222168e+00
8.409577421844005585e-04,-1.068503189086914062e+01,-1.100992965698242188e+01,-1.701355576515197754e+00
9.578405297361314297e-04,-1.072609424591064453e+01,-1.104939937591552734e+01,-1.737841010093688965e+00
1.087836571969091892e-03,-1.075757884979248047e+01,-1.107902526855468750e+01,-1.772870659828186035e+00
1.232113339938223362e-03,-1.077839946746826172e+01,-1.109742641448974609e+01,-1.806154251098632812e+00
1.391907921060919762e-03,-1.078750705718994141e+01,-1.110385894775390625e+01,-1.837397336959838867e+00
1.568526029586791992e-03,-1.078386783599853516e+01,-1.109701633453369141e+01,-1.866286993026733398e+00
1.763340784236788750e-03,-1.076654529571533203e+01,-1.107619476318359375e+01,-1.892486095428466797e+00
1.977790845558047295e-03,-1.073478794097900391e+01,-1.104052448272705078e+01,-1.915650129318237305e+00
2.213377738371491432e-03,-1.068801307678222656e+01,-1.098943710327148438e+01,-1.935427188873291016e+00
2.471664221957325935e-03,-1.062583065032958984e+01,-1.092253112792968750e+01,-1.951482415199279785e+00
2.754269633442163467e-03,-1.054805088043212891e+01,-1.083961009979248047e+01,-1.963493704795837402e+00
3.062868257984519005e-03,-1.045466423034667969e+01,-1.074070644378662109e+01,-1.971190094947814941e+00
3.399185370653867722e-03,-1.034587860107421875e+01,-1.062606525421142578e+01,-1.974348783493041992e+00
3.764993743970990181e-03,-1.022210884094238281e+01,-1.049617195129394531e+01,-1.972824573516845703e+00
4.162112250924110413e-03,-1.008403968811035156e+01,-1.035173892974853516e+01,-1.966542005538940430e+00
4.592402838170528412e-03,-9.932579994201660156e+00,-1.019365310668945312e+01,-1.955495715141296387e+00
5.057768896222114563e-03,-9.768793106079101562e+00,-1.002295875549316406e+01,-1.939755558967590332e+00
5.560155492275953293e-03,-9.593855857849121094e+00,-9.840846061706542969e+00,-1.919450044631958008e+00
6.101547274738550186e-03,-9.408959388732910156e+00,-9.648631095886230469e+00,-1.894745230674743652e+00
6.683971267193555832e-03,-9.215353965759277344e+00,-9.447679519653320312e+00,-1.865831851959228516e+00
7.309496868401765823e-03,-9.014384269714355469e+00,-9.239383697509765625e+00,-1.832906365394592285e+00
7.980235852301120758e-03,-8.807423591613769531e+00,-9.025139808654785156e+00,-1.796171307563781738e+00
8.698353543877601624e-03,-8.595809936523437500e+00,-8.806309700012207031e+00,-1.755840063095092773e+00
9.466057643294334412e-03,-8.380837440490722656e+00,-8.584217071533203125e+00,-1.712142109870910645e+00
1.028561685234308243e-02,-8.163722991943359375e+00,-8.360094070434570312e+00,-1.665297627449035645e+00
1.115935482084751129e-02,-7.945607185363769531e+00,-8.135087966918945312e+00,-1.615512132644653320e+00
1.208965852856636047e-02,-7.727521419525146484e+00,-7.910258769989013672e+00,-1.562971353530883789e+00
1.307898387312889099e-02,-7.510389328002929688e+00,-7.686545372009277344e+00,-1.507829546928405762e+00
1.412985753268003464e-02,-7.295033931732177734e+00,-7.464783668518066406e+00,-1.450194120407104492e+00
1.524487975984811783e-02,-7.082180500030517578e+00,-7.245703697204589844e+00,-1.390096306800842285e+00
1.642673276364803314e-02,-6.872448921203613281e+00,-7.029931545257568359e+00,-1.327463150024414062e+00
