TEST,RUN,SEQUENCE,SERIES,ALPHA,MACH,CONFIG,CONFTS,CONFT,TTEMP,CREYN,QINFFT,PTPSI,PINFPI,RHOSF,VINFFS,FLWA11,CA,CY,CN,CRM,CM,CYM,CL,CD,CYS,CRMS,CMS,CYMS,NAC030,NAC090,NAC150,NAC210,NAC270,NAC330,ALPWICS,MWICS,QWICS,CS2S_CL,CS2S_CD,CS2S_CS,CS2S_CRM,CS2S_CPM,CS2S_CYM
   216.0000000,    77.0000000,     1.0000000,     4.0000000,    -2.9506712,     0.8502492,     3.0000000,     1.0000000,     0.0000000,    92.0535660,     5.0045195,  1301.9836426,    28.6629162,    17.8670387,     0.0031095,   915.1141357,     0.0223296,     0.0104580,    -0.0001324,    -0.3008293,    -0.0009279,     0.2978175,    -0.0002907,    -0.2998922,     0.0262228,    -0.0001324,    -0.0009117,     0.2978175,    -0.0003380,     0.0101998,     0.0100175,     0.0097587,     0.0100385,     0.0101089,     0.0099316,    -2.9110000,     0.8495794,  1300.8387451,    -0.3001737,     0.0258375,    -0.0001325,    -0.0009287,     0.2980796,    -0.0002909
   216.0000000,    77.0000000,     2.0000000,     4.0000000,    -2.0104437,     0.8504999,     3.0000000,     1.0000000,     0.0000000,    92.1427155,     5.0037909,  1302.3244629,    28.6609898,    17.8611774,     0.0031082,   915.4238892,     0.0224600,     0.0121246,     0.0002432,    -0.1780691,    -0.0012138,     0.2527972,    -0.0001663,    -0.1775341,     0.0186571,     0.0002432,    -0.0012072,     0.2527972,    -0.0002087,     0.0081761,     0.0082361,     0.0080624,     0.0081777,     0.0084778,     0.0084775,    -1.9842498,     0.8499690,  1301.4173584,    -0.1776660,     0.0184349,     0.0002433,    -0.0012146,     0.2529734,    -0.0001664
   216.0000000,    77.0000000,     3.0000000,     4.0000000,    -1.0123729,     0.8502093,     3.0000000,     1.0000000,     0.0000000,    92.1985550,     5.0030541,  1302.0031738,    28.6648464,    17.8689823,     0.0031089,   915.1968384,     0.0223088,     0.0144125,     0.0002641,    -0.0442546,    -0.0012248,     0.2056568,    -0.0000708,    -0.0439931,     0.0154856,     0.0002641,    -0.0012234,     0.2056568,    -0.0000924,     0.0047476,     0.0048014,     0.0046167,     0.0048273,     0.0050594,     0.0048867,    -1.0004098,     0.8498431,  1301.3774414,    -0.0440172,     0.0153818,     0.0002642,    -0.0012254,     0.2057556,    -0.0000708
   216.0000000,    77.0000000,     4.0000000,     4.0000000,     0.0298708,     0.8504112,     3.0000000,     1.0000000,     0.0000000,    92.2644730,     5.0032053,  1302.4517822,    28.6671276,    17.8666515,     0.0031084,   915.4414673,     0.0224138,     0.0147658,    -0.0009382,     0.0901262,    -0.0012343,     0.1607512,    -0.0001896,     0.0901185,     0.0151060,    -0.0009382,    -0.0012344,     0.1607512,    -0.0001889,     0.0038467,     0.0035478,     0.0036098,     0.0037061,     0.0036082,     0.0039654,     0.0309706,     0.8500863,  1301.8966064,     0.0901569,     0.0150333,    -0.0009386,    -0.0012348,     0.1608197,    -0.0001896
   216.0000000,    77.0000000,     5.0000000,     4.0000000,     1.0344613,     0.8499727,     3.0000000,     1.0000000,     0.0000000,    92.3296585,     5.0022807,  1301.9573975,    28.6727409,    17.8782997,     0.0031096,   915.0830688,     0.0221984,     0.0121191,    -0.0006191,     0.2221196,    -0.0012760,     0.1202437,    -0.0000662,     0.2218646,     0.0164211,    -0.0006191,    -0.0012770,     0.1202437,    -0.0000431,     0.0017466,     0.0014889,     0.0014766,     0.0015619,     0.0017512,     0.0019437,     1.0259515,     0.8496822,  1301.4604492,     0.2219520,     0.0163173,    -0.0006193,    -0.0012765,     0.1202896,    -0.0000662
   216.0000000,    77.0000000,     6.0000000,     4.0000000,     2.0949116,     0.8496958,     3.0000000,     1.0000000,     0.0000000,    92.3709412,     5.0020537,  1301.7381592,    28.6783466,    17.8869457,     0.0031106,   914.8567505,     0.0221817,     0.0062254,    -0.0013154,     0.3641303,    -0.0013833,     0.0827068,    -0.0001004,     0.3636594,     0.0198261,    -0.0013154,    -0.0013861,     0.0827068,    -0.0000498,    -0.0011871,    -0.0013524,    -0.0016113,    -0.0014278,    -0.0011176,    -0.0010036,     2.0768542,     0.8493880,  1301.2114258,     0.3638130,     0.0196357,    -0.0013159,    -0.0013839,     0.0827403,    -0.0001005
   216.0000000,    77.0000000,     7.0000000,     4.0000000,     2.3705623,     0.8499550,     3.0000000,     1.0000000,     0.0000000,    92.3931198,     5.0037694,  1302.5198975,    28.6857967,    17.8867702,     0.0031107,   915.1189575,     0.0221973,     0.0042084,    -0.0019287,     0.4047506,    -0.0014452,     0.0723790,    -0.0002049,     0.4042301,     0.0212398,    -0.0019287,    -0.0014524,     0.0723790,    -0.0001449,    -0.0024590,    -0.0024635,    -0.0027494,    -0.0026834,    -0.0023543,    -0.0021878,     2.3490703,     0.8497279,  1302.1313477,     0.4043589,     0.0210159,    -0.0019292,    -0.0014456,     0.0724006,    -0.0002049
   216.0000000,    77.0000000,     8.0000000,     4.0000000,     2.6555791,     0.8495144,     3.0000000,     1.0000000,     0.0000000,    92.4256744,     5.0035710,  1302.1121826,    28.6934299,    17.8997269,     0.0031124,   914.7313843,     0.0221709,     0.0020120,    -0.0018362,     0.4481037,    -0.0014998,     0.0605076,    -0.0000845,     0.4475293,     0.0230655,    -0.0018362,    -0.0015021,     0.0605076,    -0.0000149,    -0.0022116,    -0.0025267,    -0.0029078,    -0.0025231,    -0.0020114,    -0.0022524,     2.6321659,     0.8491927,  1301.5614014,     0.4477283,     0.0227967,    -0.0018369,    -0.0015004,     0.0605333,    -0.0000845
   216.0000000,    77.0000000,     9.0000000,     4.0000000,     2.9326048,     0.8498454,     3.0000000,     1.0000000,     0.0000000,    92.4569168,     5.0056491,  1303.0904541,    28.7024956,    17.8992233,     0.0031124,   915.0687256,     0.0221907,     0.0001857,    -0.0021606,     0.4873149,    -0.0015354,     0.0489487,    -0.0001181,     0.4866672,     0.0254106,    -0.0021606,    -0.0015394,     0.0489487,    -0.0000394,    -0.0044663,    -0.0046241,    -0.0048643,    -0.0048318,    -0.0043065,    -0.0043373,     2.9071946,     0.8494129,  1302.3498535,     0.4869556,     0.0251030,    -0.0021619,    -0.0015362,     0.0489765,    -0.0001182
   216.0000000,    77.0000000,    10.0000000,     4.0000000,     3.1699655,     0.8498175,     3.0000000,     1.0000000,     0.0000000,    92.5459824,     5.0045295,  1303.0417480,    28.7024746,    17.8997288,     0.0031120,   915.1162720,     0.0221890,    -0.0014519,    -0.0023609,     0.5246068,    -0.0014466,     0.0383286,    -0.0001105,     0.5238844,     0.0278536,    -0.0023609,    -0.0014505,     0.0383286,    -0.0000303,    -0.0043843,    -0.0046468,    -0.0047819,    -0.0047166,    -0.0043837,    -0.0043019,     3.1417363,     0.8494205,  1302.3619385,     0.5241719,     0.0275043,    -0.0023621,    -0.0014473,     0.0383486,    -0.0001105
   216.0000000,    77.0000000,    11.0000000,     4.0000000,     3.4178290,     0.8498632,     3.0000000,     1.0000000,     0.0000000,    92.7029648,     5.0026417,  1303.0755615,    28.7014980,    17.8982697,     0.0031109,   915.2893066,     0.0221918,    -0.0026694,    -0.0018366,     0.5561601,    -0.0012131,     0.0318683,    -0.0000669,     0.5553300,     0.0307853,    -0.0018366,    -0.0012149,     0.0318683,     0.0000056,    -0.0058459,    -0.0063505,    -0.0064966,    -0.0063585,    -0.0060609,    -0.0055187,     3.3869607,     0.8495216,  1302.4908447,     0.5555963,     0.0303998,    -0.0018374,    -0.0012136,     0.0318826,    -0.0000669
   216.0000000,    77.0000000,    12.0000000,     4.0000000,     3.6716216,     0.8501440,     3.0000000,     1.0000000,     0.0000000,    92.8864288,     5.0032320,  1304.0788574,    28.7130032,    17.9002171,     0.0031104,   915.7056274,     0.0222749,    -0.0029895,    -0.0017009,     0.5786589,    -0.0010600,     0.0321616,    -0.0000212,     0.5776626,     0.0343657,    -0.0017009,    -0.0010591,     0.0321616,     0.0000467,    -0.0047820,    -0.0049881,    -0.0053557,    -0.0052143,    -0.0046522,    -0.0046533,     3.6393030,     0.8497431,  1303.3924561,     0.5779867,     0.0339552,    -0.0017018,    -0.0010605,     0.0321785,    -0.0000212
   216.0000000,    77.0000000,    13.0000000,     4.0000000,     3.9243276,     0.8507614,     3.0000000,     1.0000000,     0.0000000,    93.0662155,     5.0039339,  1305.4479980,    28.7198887,    17.8930168,     0.0031087,   916.4355469,     0.0225959,    -0.0027476,    -0.0025655,     0.5979334,    -0.0010158,     0.0363422,    -0.0001506,     0.5967195,     0.0384725,    -0.0025655,    -0.0010238,     0.0363422,    -0.0000807,    -0.0043983,    -0.0047249,    -0.0050079,    -0.0049246,    -0.0045247,    -0.0044773,     3.8909097,     0.8502629,  1304.5950928,     0.5971326,     0.0380399,    -0.0025672,    -0.0010165,     0.0363660,    -0.0001507
   216.0000000,    77.0000000,    14.0000000,     4.0000000,     4.1916027,     0.8497173,     3.0000000,     1.0000000,     0.0000000,    93.2410202,     5.0015302,  1304.2744141,    28.7334080,    17.9208851,     0.0031116,   915.5976562,     0.0221830,    -0.0030034,    -0.0022985,     0.6161649,    -0.0009945,     0.0397068,    -0.0000361,     0.6147363,     0.0423345,    -0.0022985,    -0.0009945,     0.0397068,     0.0000367,    -0.0047842,    -0.0048988,    -0.0053018,    -0.0051963,    -0.0045142,    -0.0047991,     4.1568542,     0.8492132,  1303.4100342,     0.6151702,     0.0418833,    -0.0023001,    -0.0009952,     0.0397332,    -0.0000361
   216.0000000,    77.0000000,    15.0000000,     4.0000000,     4.4252167,     0.8496475,     3.0000000,     1.0000000,     0.0000000,    93.3815002,     5.0008826,  1304.4610596,    28.7401619,    17.9263992,     0.0031117,   915.6481934,     0.0221788,    -0.0026747,    -0.0030355,     0.6319633,    -0.0009499,     0.0454088,    -0.0001699,     0.6302856,     0.0463873,    -0.0030355,    -0.0009601,     0.0454088,    -0.0000961,    -0.0033934,    -0.0038264,    -0.0040378,    -0.0038279,    -0.0036162,    -0.0034630,     4.3895221,     0.8492036,  1303.6997070,     0.6306834,     0.0458941,    -0.0030373,    -0.0009504,     0.0454353,    -0.0001700
   216.0000000,    77.0000000,    16.0000000,     4.0000000,     4.6869774,     0.8501397,     3.0000000,     1.0000000,     0.0000000,    93.4843140,     5.0027542,  1305.7723389,    28.7504539,    17.9236431,     0.0031111,   916.1968384,     0.0222727,    -0.0021115,    -0.0029745,     0.6475875,    -0.0009636,     0.0517048,    -0.0001609,     0.6455945,     0.0511035,    -0.0029745,    -0.0009736,     0.0517048,    -0.0000816,    -0.0032964,    -0.0035519,    -0.0038567,    -0.0036298,    -0.0034509,    -0.0033768,     4.6501689,     0.8496373,  1304.9107666,     0.6460544,     0.0505905,    -0.0029764,    -0.0009643,     0.0517390,    -0.0001610
   216.0000000,    77.0000000,    17.0000000,     4.0000000,     4.9499016,     0.8497262,     3.0000000,     1.0000000,     0.0000000,    93.5986328,     5.0023251,  1305.5804443,    28.7618484,    17.9384594,     0.0031127,   915.9020386,     0.0221836,    -0.0021143,    -0.0021177,     0.6637143,    -0.0009981,     0.0553966,    -0.0000799,     0.6614215,     0.0554547,    -0.0021177,    -0.0010012,     0.0553966,     0.0000066,    -0.0031935,    -0.0033899,    -0.0037245,    -0.0035368,    -0.0031061,    -0.0032446,     4.9117637,     0.8490612,  1304.4388428,     0.6620382,     0.0549563,    -0.0021196,    -0.0009990,     0.0554450,    -0.0000799
